Name,career_high_point,earnings_2019,image_url,number_of_times_on_forbes_list_since_2017,profession,profile,source_of_income
Kapil Sharma ,Launching his first own show Comedy Nights with Kapil under his banner K9 productions in 2013,34.98,https://www.forbesindia.com/media/celeblist2019/big/053_Kapil Sharma.jpg,2,"Stand-up comedian, Television presenter, Producer","The comedian pocketed almost Rs 35 crore in earnings thanks to a renewal of his contract with Sony Entertainment for The Kapil Sharma Show, produced by Salman Khan, and a Punjabi movie he produced under his banner, K9 productions. Sharma also snapped up the best comedy show award for his namesake show at the Indian Television Academy Awards in 2019. ","TV, Endorsements"
Mahesh Babu,His film Pokiri in 2006 was a mega hit,35,https://www.forbesindia.com/media/celeblist2019/big/054_Mahesh Babu.jpg,3,Actor,"Telugu film star Mahesh Babu, 44, has been an actor for almost all his life, having starred in his first movie at the age of 4. As an adult, Raj Kumarudu in 1999 was his first film in a leading role. In 2006, the film Pokiri, in which Babu played a killer for hire, made him a leading star in south India. His next movie, Sarileru Neekkevaru is set to release in January 2020. ","Films, Endorsements"
S. Shankar,Two of his films were submitted to the Oscars,31.5,https://www.forbesindia.com/media/celeblist2019/big/055_S Shankar.jpg,1,Director,"Tamil filmmaker S. Shankar, 56, won a Filmfare Best Director award for his debut film, Gentleman, in 1993; the movie also won him the Tamil Nadu State Film Award for best director. Two of his films, Indian in 1996 and Jeans in 1998, were submitted by India for the Academy Awards under the category of best foreign language film. Shankar is currently shooting Bharateeyudu 2, starring Kamal Haasan. ",Films
Kamal Haasan,"After winning the President's Medal at the age of five, Haasan's popularity as an adult was cemented with films like  Apoorva Ragangal, Thevar Magan and Pushpak. His directorials, including Hey Ram and Vishwaroopam, have been known to stoke controversies and government opposition",34,https://www.forbesindia.com/media/celeblist2019/big/056_Kamal Hassan_Selva.jpg,2,Actor,"Without a single movie release this year, Kamal Haasan has not only remained in the 2019 Forbes India Celebrity 100 list, but also climbed up 15 ranks. This is courtesy his appearance as a host of the popular reality show Bigg Boss in Tamil. The 65-year-old's estimated earnings are about Rs 34 crore. He is currently shooting for his film Indian 2, a sequel to the 1996 film of the same name, which is possibly his last outing as an actor. With three National Awards as an actor, Haasan has made films in five languages and is known for his experimentation in cinema. ","Films, TV"
Madhuri Dixit Nene,"Hum Aapke Hain Koun (1994), became one of Bollywood's greatest hits; received the Padma Shri in 2008",10.83,https://www.forbesindia.com/media/celeblist2019/big/057_Madhuri Dixit.jpg,2,Actor,"Madhuri Dixit Nene climbed from No 85 in 2018 to No 57 this year, riding on the success of Total Dhamaal, which earned more than Rs 200 crore worldwide. Dixit also turned producer this year with 15 August, a Marathi film released on Netflix. Dixit, one of the most successful female actors of the Hindi film industry, starred in some of the biggest hits of the 1980s and 1990s. She has won six Filmfare awards, and received the Padma Shri in 2008. After her relocation to India from the US in 2011, she has appeared in films, television reality shows, and is now rumoured to have signed up for a Netflix series, where Karan Johar is the creative producer. ","Films, TV, Endorsements"
Badshah,The release of 'Kala Chashma' from Baar Baar Dekho (2016),29.17,https://www.forbesindia.com/media/celeblist2019/big/058_Badshah.jpg,3,Musician,"Starting his music career in 2006 with Hindi, Punjabi and Haryanvi songs, Badshah became a widely known singer with his hit single DJ Wale Babu (2015), after entering the Hindi film industry in 2014. Songs such as 'Abhi toh party shuru hui hai' from Khoobsurat (2014), 'Kar gayi chull' from Kapoor & Sons (2016), and The Humma Song from OK Jaanu (2017), established him as a party favourite. He also collaborated with Mi Gente hitmaker J Balvin, a Colombian singer, and Major Lazer, an American electronic dance music group. ","Films, TV, Concerts"
Sonakshi Sinha,Starring in the blockbuster Dabangg franchise,6.14,https://www.forbesindia.com/media/celeblist2019/big/059_Sonakshi Sinha.jpg,2,Actor,"Sinha makes a comeback to the 2019 Forbes India Celebrity 100 list this year after dropping out in 2018. Her recent multi-starrer release Mission Mangal collected more than Rs 200 crore at the box office. Her other releases in the year, however—including Kalank, Laal Kaptaan and Khandaani Shafakhana—did not hit the mark. ","Films, TV, Endorsements"
Rohit Shetty,Became the first director in the history of Bollywood to deliver eight back-to-back films that made more than Rs 100 crore at the domestic box office,32.17,https://www.forbesindia.com/media/celeblist2019/big/060_Rohit Shetty.jpg,2,Filmmaker,"Popularly known for his action sequences and fast-paced plots, Shetty's Simmba replaced Shah Rukh Khan's Chennai Express to become his highest-earning movie at the domestic box office. The cop-action drama has managed to earn Rs 230 crore at the Indian box office and more than Rs 86 crore from the overseas market. Shetty also hosted the stunt game show Fear Factor: Khatron Ke Khiladi for the fourth time this year. ","Films, TV"
Kuldeep Yadav,The only Indian spinner to take five-wicket hauls in all formats of the game,15.27,https://www.forbesindia.com/media/celeblist2019/big/061_Kuldeep Yadav.jpg,1,Cricketer,"A rare bowling breed, Kuldeep Yadav is starting to display signs of a promising career. Yadav makes it to the list for the first time backed by strong performances in T20Is and the BCCI retainership 'A' category contract. A not-so-impressive performance at the 2019 IPL means that Yadav will need to put in consistent performances going ahead. ","Cricket, Endorsements"
Mammootty,Rajamanikyam was the highest grossing Malayalam movie until 2008,33.5,https://www.forbesindia.com/media/celeblist2019/big/062_Mammootty.jpg,2,"Actor, Producer","Malayalam cinema's superstar, Mammootty, 68, has been in the movies for almost 50 years. The award-winning actor's latest movie, Mamangam, in which he plays an ancient warrior, is set for a December release. However, he hasn't been untouched by controversy. In 2017, actor Parvathy, who called out some of his misogynistic dialogues in the film Kasaba, received death threats from Mammootty's fans and was trolled on social media. ","Films, Endorsements"
PV Sindhu,Winning the gold at the World championships,21.05,https://www.forbesindia.com/media/celeblist2019/big/063_PV Sindhu.jpg,3,Badminton player,"In August 2019, PV Sindhu became the first Indian badminton player to win the BWF World Championships after crushing Japan's Nozomi Okuhara 21-7, 21-7 in just 36 minutes. The first woman from India to win a silver medal at the Olympics, PV Sindhu broke her jinx with a gold when she won the BWF World Championships. A Padma Shri awardee, the 24-year-old had earlier won two Bronze medals and two Silver medals at the championships.","Badminton, Endorsements"
Dhanush,"While Aadukalam marked a turning point in film career, Dhanush became an overnight internet sensation with song 'Why This Kolaveri Di', the first Indian music video to cross 100 million views on YouTube",31.75,https://www.forbesindia.com/media/celeblist2019/big/064_Dhanush.jpg,3,Actor,"Also known for his Bollywood outings Raanjhanaa and Shamitabh, Dhanush delivered two critically acclaimed and commercially successful films, Vada Chennai and Maari 2 this year.  In fact, the song 'Rowdy Baby' from the latter was also ranked among the top 10 'Most Watched Videos' on YouTube in 2019 globally. The remuneration of the 36-year-old, who also owns a production house called Wunderbar Studios, is estimated to be around Rs 31. 75 crore. ",Films
Arjun Kapoor,Two of his movies—2 States and Gunday—are part of the Rs 100 crore club,11.45,https://www.forbesindia.com/media/celeblist2019/big/065_Arjun Kapoor.jpg,2,Actor,"Last seen in Panipat this year, Kapoor returns to 2019 Forbes India Celebrity 100 list after dropping off last year. Panipat has opened better than Arjun Kapoor's recent films like India's Most Wanted and Namaste London, which minted Rs 1.76 crore and Rs 1.61 crores respectively. Kapoor's future projects include the Hindi remake of Tamil hit Comali and an untitled family drama-comedy with Rakul Preet Singh. ","Films, Endorsements"
Sara Ali Khan,Yet to come,5.75,https://www.forbesindia.com/media/celeblist2019/big/066_Sara Ali Khan.jpg,1,Actor,"Led by two movie releases, Kedarnath and Simmba, this 24-year-old has just about started to get noticed. She jumps into the list led by several brand endorsements, which include Veet, Fanta and Ceriz..","Films, Endorsements"
Kartik Aaryan,Sonu Ke Titu Ki Sweety became Aaryan's first film to enter the Rs 100 crore club,10.38,https://www.forbesindia.com/media/celeblist2019/big/067_Kartik Aaaryan.jpg,1,Actor,"Aaryan, whose monologue in Pyaar ka Punchnama went viral, is riding the success of the film Luka Chuppi this year. He has almost 13 million Instagram followers, scoring high on the fame quotient. Aaryan endorses major brands like Armani Exchange, Cadbury Silk, Boat Speakers and Fair & Handsome.","Films, Endorsements"
Taapsee Pannu,"The Hindi courtroom drama Pink, produced by Shoojit Sircar, where she received critical acclaim for her character, which fights patriarchy and harassment",6.18,https://www.forbesindia.com/media/celeblist2019/big/068_Taapsi Pannu.jpg,2,Actor,"Taapsee Pannu, with four hits this year, sees her popularity spread across the three biggest film industries in the country–Hindi, Telugu and Tamil. With four films that did reasonably well at the box office this year, Pannu has been riding high on both film offers and endorsements, with an estimated earning of Rs 6.18 crore. The 32-year-old has cemented her positioning as an actor who picks up unconventional scripts based on content and not screen-time and is known to speak her mind on social media about gender parity. This has endeared her to an entire segment of brands targeted at young women, including nutrition, fitness and technology, taking her total endorsement portfolio to 12 brands. Her upcoming ventures in 2020 include a biopic on Mithali Raj, former captain of the Indian women's cricket team; a social drama called Thappad; and an espionage thriller in Tamil with Jayam Ravi. She also co-owns a wedding startup and a badminton franchise at the Premier Badminton League.","Films, Endorsements"
Sushant Singh Rajput,"M.S Dhoni: The Untold Story (2016) became Rajput's first Rs 200-crore film with him as the lead (after PK, where he played a supporting role)",14.26,https://www.forbesindia.com/media/celeblist2019/big/069_Sushant singh.jpg,2,Actor,"While Rajput's Kedarnath with debutante Sara Ali Khana received mix reviews, feel-good underdog film Chhichhore became a blockbuster. In March 2019, Sonchiriya received much critical acclaim. Rajput has 9. 8 million Instagram followers and endorses brands like Bata, Syska and Whirlpool.","Films, Endorsements"
Kangana Ranaut,Winning three National Awards,17.5,https://www.forbesindia.com/media/celeblist2019/big/070_Kangana Ranaut.jpg,2,Actor,"Kangana Ranaut makes a comeback to the Forbes India Celebrity 100 List on the back of two performances, Manikarnika: The Queen of Jhansi and Judgementall Hai Kya. Apart from playing the lead role in the two films to perfection, Ranaut also co-directed Manikarnika in 2019. The actor went the extra mile to essay the character of Rani Laxmi Bai in the historical drama, and is ranked No 70 on the list with earnings of Rs 17.5 crore. Her absence on social media had an adverse impact on the fame quotient used to calculate the rankings. ","Films, Endorsements"
Anil Kapoor,"Slumdog Millionaire, Kapoor's Hollywood debut, bagged eight Academy Awards; he also won the National Film Award for Pukar (2001) and Gandhi, My Father (2008)",14.67,https://www.forbesindia.com/media/celeblist2019/big/071_Anil Kappor.jpg,2,Actor,"Anil Kapoor, with an acting career spanning 40 years, has given a range of blockbusters. In the period spanning October 2018 to September 2019, he acted in Total Dhamaal, and with his daughter Sonam Kapoor in Ek Ladki Ko Dekha Toh Aisa Laga, on same-sex relationships. He endorses brands including Softovac, Spotify and Puro Salt. ","Films, Endorsements"
Vicky Kaushal,Winning the National Film Award for Best Actor for his role in Uri: The Surgical Strike,10.42,https://www.forbesindia.com/media/celeblist2019/big/072_Vicky Kaushal.jpg,1,Actor,"In 2018, Vicky Kaushal had three theatrical releases and two on Netflix, all of which saw Kaushal emerge as a powerhouse of acting. If Masaan and Raman Raghav showcased the actor par excellence in Vicky Kaushal, 2019 was the year of Vicky Kaushal, the superstar. His sole release in 2019, Uri: The Surgical Strike struck gold at the box office, raking in nearly Rs 350 crore. The 31-year-old also earned a National Film Award for Best Actor. Next, he will be seen playing the role of Sam Manekshaw, India's legendary Field Marshal, in addition to playing Udham Singh, the revolutionary who killed Michael O' Dwyer, the former lieutenant governor of Punjab responsible for the Jallianwala Bagh massacre. Kaushal was also India's most searched film actor in 2019, according to Google..","Films, Endorsements"
Sanjeev Kapoor,Awarded the Padma Shri in 2017,24.8,https://www.forbesindia.com/media/celeblist2019/big/073_Sanjeev Kapoor.jpg,3,"Chef, TV personality and F&B entrepreneur","Chef Sanjeev Kapoor remains one of the most recognisable faces in Indian food television, decades after Khana Khazana hit popularity in the 1990s. Kapoor, who co-owns the TV channel FoodFood and cookware brand Wonderchef, attracts a host of brand endorsements. He also has his own app, website, YouTube channel and most recently, an Amazon Alexa skill. ""What excites me now is not to create a dish or a menu, but to see what I can do with machine learning and artificial intelligence in cooking, exploring voice-enabled cook-alongs that get better and more predictive as you use them,"" he told Forbes India in a recent interview. ","TV, Endorsements, Royalties"
Saif Ali Khan,Khan's portrayal of a hopeless romantic in Dil Chahta Hai (2001) proved to be a turning point in his then-stagnating career,17.03,https://www.forbesindia.com/media/celeblist2019/big/074_Saif Ali Khan.jpg,3,"Actor,  Producer","Last year, Khan starred in India's first Netflix Original series Sacred Games, playing a tormented cop for which he earned critical praise. He also won accolades for his role in the rags-to-riches drama Bazaar (2018). Moreover, Khan launched his second—and solo—production banner Black Knight Films last year and has already locked in his first deal, a film titled Jawani Jaaneman about a 40-year-old dad and his daughter. ","Films, OTT, Endorsements"
Shilpa Shetty Kundra,"Winning Celebrity Big Brother, bringing her global recognition",2.26,https://www.forbesindia.com/media/celeblist2019/big/075_Shilpa Shetty.jpg,1,"Actor, Investor, Fitness expert","After starting out as an actor, the 44-year-old is today an investor. After a run with a team at the IPL, Shetty invested nearly Rs 1. 6 crore in baby care company Mamaearth. The Shilpa Shetty app, which focuses on health and fitness, was in Google Play's Best Apps of 2019 in the 'Personal Growth' category. Meanwhile, apparel and garment brand Bodycare International also roped Shetty as their brand ambassador for anti-bacterial thermal wear. Shetty has stayed away from the big screen for nearly 13 years, but is now shooting for Nikamma, directed by Sabbir Khan starring Abhimanyu Dassani alongside. ","TV, Endorsements"
Malaika Arora,"Arora shot to fame with the dance number Chhaiya Chhaiya in Mani Ratnam's film Dil Se. She has since replicated the success with songs like Munni Badnaam Hui, Anarkali Disco Chali, Kaal Dhamaal",2.09,https://www.forbesindia.com/media/celeblist2019/big/076_Malaika Arora.jpg,1,Actor,"The Bollywood diva, known for chart-busting dance numbers like Chhaiya Chhaiya and Munni Baadnam Hui, made her way back to the Forbes India Celebrity 100 list at No. 76, with earnings of Rs 2.09 crore. Khan, who was last seen on the silver screen in Pataakha, currently co-owns lifestyle brand The Label Life, apart from running her own fitness studio called Diva Yoga. She has also judged a number of television reality shows including Nach Baliye, Jhalak Dikhhla Jaa and India's Got Talent.","TV, Endorsements"
Trivikram Srinivas,"After his directorial debut Nuvve Nuvve won the Nandi Award for Best Feature Film, Srinivas directed the Pawan Kalyan-starrer Attarintiki Daredi, which was the highest grosser of the Telugu film industry in 2013",21.5,https://www.forbesindia.com/media/celeblist2019/big/077_Trivikram-srinivas.jpg,1,Filmmaker,"Trivikram Srinivas, a former advertising professional, is a low-profile director despite working with some of the biggest superstars of the Telugu film industry. His presence in the list is the result of his ambitious action drama called Aravinda Sametha Veera Raghava, starring Junior NTR. The director's estimated earnings from this film alone stand at Rs 21. 5 crore. Srinivas has received seven Nandi Awards, an honour conferred by the Andhra Pradesh government for excellence in Telugu cinema. ",Films
Ali Abbas Zafar,The blockbuster success of Sultan,15,https://www.forbesindia.com/media/celeblist2019/big/078_Ali Abbas Zafar.jpg,1,Director and Screenwriter," Ali Abbas Zafar made his directorial debut in 2011 with Mere Brother Ki Dulhan and then went on to make Gunday in 2014. In 2016, he directed the Salman Khan-starrer Sultan, which had a worldwide collection of Rs 614.49 crore. Following that he directed Tiger Zinda Hai and his latest hit was Bharat, which made Rs 325.58 crore worldwide. ",Films
Divyanka Tripathi Dahiya ,Winning three awards for her role in the TV show Yeh Hai Mohabbatein,1.46,https://www.forbesindia.com/media/celeblist2019/big/079_Divyanka Tripathi Dahiya.jpg,3,TV personality,"Divyanka Tripathi Dahiya has been a household face for more than a decade, portraying different roles in numerous TV serials. Despite a plummet in earnings from Rs 7.8 crore last year to Rs 1.46 crore now, her fame quotient substantially pushed her higher on the list. Her role as Dr Ishita Bhalla in the TV show Yeh Hai Mohabbatein is popular, and has won her multiple awards.","TV, Endorsements"
Siva,"The 2011 Tamil film Siruthai starring Karthi and Tamannah, so much so, that the title of the film is often prefixed with Siva's name. The project was a remake of the Telugu film Vikramarkudu directed by SS Rajamouli of Baahubali fame",12.17,https://www.forbesindia.com/media/celeblist2019/big/Face_280X280.jpg,2,Filmmaker,"A gold medalist from the MGR Government Film and Training Institute in Chennai, Siva started out as a cinematographer, Siva sealed his positioning as a director in the Tamil and Telugu film industries. He is known to pick film titles only with the alphabet 'V', thus explaining his previous outings with superstar Ajith Kumar, titled Veeram, Vivegam and Vedalam respectively. His entry into the list is riding on the success of his film Viswasam, for which he earned an estimated Rs 12.17 crore. ,                                
                              
",Films
Saina Nehwal,Won bronze in the 2012 Olympics,3,https://www.forbesindia.com/media/celeblist2019/big/081_Saina Nehwal.jpg,3,Badminton player,"For the Indian shuttler, currently ranked world number 10 in women's singles, 2019 was a lean year. Nehwal started the year strong, sealing a semi-final berth in the Malaysia Masters, followed by a win in the Indonesia Masters, when she got a walk over in the finals as opponent Carolina Marin bowed out with an injury. This was in January. In the next 14 global tournaments she contested during the year, Nehwal made it to the quarters only four times. She, however, beat PV Sindhu to retain her nationals title. Nehwal saw her earnings erode to an estimated Rs 3 crore in 2019 from about Rs 16.5 crore the year before.","Badminton, Endorsements"
Bharti Singh,Singh shot to fame after being judged runner-up in the stand-up comedy reality series The Great Indian Laughter Challenge (Season 4),10.92,https://www.forbesindia.com/media/celeblist2019/big/082_Bharti Singh.jpg,3,Comedian,Singh appeared in a number of reality TV shows in the last year including Fear Factor: Khatron ke Khiladi (season 9) where she made it to the grand finale; Dance Dewane (season 1); and Bigg Boss (season 12). She also hosted India's Got Talent (season 8). All of this has only added to Singh's social media fandom. ,TV
Zoya Akhtar,Gully Boy was India's official entry into the Oscars,9.33,https://www.forbesindia.com/media/celeblist2019/big/083_Zoya Akhtar.jpg,1,Filmmaker,"After directing Ranveer Singh and Alia Bhatt in the widely successful Gully Boy, Akhtar also cut her teeth in the burgeoning business of web television with Made in Heaven on Amazon Prime Video. Gully Boy, which narrates the coming-of-age story of a struggling rapper, was India's official for the Best International Feature Film at the 92nd Academy Awards. It raked in a staggering Rs 238 crore at the box office. Made in Heaven, meanwhile has a rating of 8.3 on IMDb.","Films, OTT"
Karthik Subbaraj ,"Jigarthanda, a commercial and critical success",13.5,https://www.forbesindia.com/media/celeblist2019/big/Face_280X280.jpg,1,Director,"A software engineer, Subbaraj started making short films, before fast emerging as a director that most Tamil superstars are lining up to work with. Apart from Rajinikanth, Subbaraj has also directed stars such as Vijay Sethupathi, Siddharth and Dhanush. In fact, for his next release, Suruli with Dhanush, Subbaraj also managed to sign Game of Thrones star James Cosmo for a pivotal role. The success of Pizza, Subbaraj's first film, helped Vijay Sethupathi emerge as one of Tamil cinema's most sought-after actors. ",Films
Sunil Chhetri,"Between 2007 and 2019, Chhetri has been named player of the year six times by the AIFF",6.1,https://www.forbesindia.com/media/celeblist2019/big/085_Sunil Chhetri.jpg,2,Football,"Sunil Chhetri, 35, captains India's national football team as well as the Bengaluru FC professional football club. Chhetri started his footballing career with Mohun Bagan in 2002, and plays as a striker. His career has included stints overseas in the US and Portugal. Chhetri is the second highest active international goal scorer. He has helped India win the Nehru Cup in 2007, 2009 and 2012, and the SAFF Championship in 2011. ","Football, Endorsements"
Remo D'Souza,National Award for the song 'Deewani Mastani' for Bajirao Mastani (2015),1.63,https://www.forbesindia.com/media/celeblist2019/big/086_Remo D'Souza.jpg,2,"Choreographer, director, actor, reality TV show judge","Choreographer-director Remo D'Souza has just wrapped up his upcoming directorial venture, Street Dancer 3D. He is also working on the third series of the Any Body Can Dance (ABCD) franchise. Last year, D'Souza climbed to No 65, riding on the success of the Salman Khan-starrer Race 3, which was the third-highest grossing film last year, collecting Rs 303 crore worldwide. Apart from directing and choreographing, D'Souza continues his role as a judge and mentor for the reality show, Dance Plus. ","Films, TV"
Mary Kom,Becoming the most successful boxer in the history of the world championships by securing her eighth medal earlier this year,3.9,https://www.forbesindia.com/media/celeblist2019/big/087_Merry Kom.jpg,1,Boxer,"Mary Kom returns to the Forbes India Celebrity 100 list this year, making history at the women's world boxing championships. She became the first boxer to win eight medals. In a career spanning two decades boxer Mary Kom has seen multiple highs. In October this year, the International Olympic Committee (IOC) named her as a female representative of boxing's athlete ambassadors group for the 2020 Tokyo Olympic Games.","Boxing, Endorsements"
Mithali Raj,Raj is the highest run-scorer in women's cricket and is its most capped player,2.63,https://www.forbesindia.com/media/celeblist2019/big/088_ Mithali Raj.jpg,1,Cricketer,"During her 20-year career, Mithali Raj has evoked parallels with Sachin Tendulkar for her prolific run-scoring. At 16, she debuted with an ODI century that set herself up as the cornerstone for Indian batting in the years to come; Raj is not only the highest scorer in the women's cricket but has displayed incredible resilience by being its most capped player as well. The 37-year-old, who has twice captained India within sniffing distance of the ODI World Cup (in 2005 and 2017), has now retired from T20s to focus on winning the 2021 edition. A biopic on Raj starring Taapsee Pannu will go on the floors in the middle of 2020. ","Cricket, Endorsements"
Raveena Tandon,Won the national award for Kalpana Lajmi's Daman in 2001,2.4,https://www.forbesindia.com/media/celeblist2019/big/089 Ravena Tandon.jpg,1,"Actor, TV judge","After several years of inaction, Tandon made a comeback with small roles in movies and television. Her popularity as a judge in the dance reality show Nach Baliye (Season 9) and a cameo in the remix of her 90s hit song 'Shehar ki Ladki' in 2019 movie Khandaani Shafakhana brings her into the Celebrity 100 list. ","TV, Endorsements"
Smriti Mandhana,Won ICC's Woman Cricketer of the Year and Women's ODI Player of the Year in 2018,2.85,https://www.forbesindia.com/media/celeblist2019/big/090_Snriti Mandhana.jpg,1,Cricketer,"Smriti Mandhana has hardly put a foot wrong in our time period, except for a toe injury ahead of India's recent tour of West Indies. She finished year 2018 as ICC's cricketer of the year as well as the women's ODI player of the year, continuing with her good form through the series against New Zealand that followed. Just 23, Mandhana not only became the youngest T20 captain for India when she filled in for an injured Harmanpreet Kaur, she's also leading the field in endorsements, bagging five, the highest for a woman cricket along with Kaur. ","Cricket, Endorsements"
Harmanpreet Kaur,"The innings of 171* in the semifinal of the 2017 ODI World Cup, regarded as among the best ever in women's cricket",2.12,https://www.forbesindia.com/media/celeblist2019/big/091_Harmanpreet Kaur.jpg,1,Cricketer,"The first woman cricketer to hit a T20 century and the first Indian cricketer to be signed by an overseas T20 franchise—Sydney Thunder in 2016—Harmanpreet Kaur was named the captain of the ICC's T20 team of the year in 2018. In October, this wiry six-hitting machine from Punjab became the first Indian cricketer to play 100 T20 internationals, when she took the field against South Africa. Her powerful hitting and her athletic fielding has extricated women's cricket out of gender stereotypes and conferred on her the stature of a gamechanger. ","Cricket, Endorsements"
Karan Kundra,Making a stellar debut as Arjun Punj in Ekta Kapoor's Kitani Mohabbat Hai in 2009,4.12,https://www.forbesindia.com/media/celeblist2019/big/092_Karan Kundra.jpg,2,TV actor,"Best known for his role in Ekta Kapoor's Kitani Mohabbat Hai (2009) and as the host of crime show Gumrah: End of Innocence (2012) on Channel V, Karan Kundra has had a busy year. He hosted MTV Love School (season 3 and 4), played the protagonist in Kapoor's romantic drama Dil Toh Hai (season 1 and 2) and appeared as a guest in Nach Baliye (season 9). ","TV, OTT"
Kalki Koechlin,Playing a young woman with cerebral palsy in Margarita with a Straw in 2014 won her a National Film Award,3.33,https://www.forbesindia.com/media/celeblist2019/big/093_Kalki Koechlin.jpg,1,Actor,"Kalki Koechlin, 35, popular theatre and cinema actor, had recent roles as a documentary filmmaker in the movie Gully Boy, and a lonely socialite in Amazon Prime Video's Made in Heaven, both directed by Zoya Akhtar. Koechlin is the recipient of the National Film Award, the Filmfare Award and two Screen Awards. ","Films, OTT"
Bajrang Punia,"After he won the silver at the 2018 World Wrestling Championships, Punia claimed World No1 in the 65 kg category",2.4,https://www.forbesindia.com/media/celeblist2019/big/094_Bajrang Punjia.jpg,1,Wrestler,"Wrestler Bajrang Punia ranked 94 on the list with earnings of Rs 2.4 crore. Punia, who won the bronze at the 2019 World Wrestling Championships, endorses at least three brands including Mobil, Asics shoes and TT underwear. The Bharat Khel Ratna awardee is India's biggest bet for a medal at the Tokyo 2020 Olympics in the 65-kg weight category.","Wrestling, Endorsements"
Anirban Lahiri,Joining PGA Tour in 2015,5.3,https://www.forbesindia.com/media/celeblist2019/big/095_Anirban Lahiri.jpg,3,Golfer,"Anirban Lahiri had a poor 18 months, resulting in him sliding down on the Forbes India Celebrity 100 List, from No 81 (Rs 11.99 crore) in 2018 to No 95 (Rs 5.3 crore) this year. The golfer struggled with form and lost his PGA Tour card only to reclaim it after finishing fifth (tied) at the Albertson Boise Open in August. With four birdies in five holes, he even made the cut at the RSM Classic in November.",Golf
Ranveer Brar,"Became the country's youngest executive chef at a five-star hotel, at age 25",4.99,https://www.forbesindia.com/media/celeblist2019/big/096_Ranveer Brar.jpg,1,"Chef, Entrepreneur, TV anchor","Ranveer Brar is the second-highest earning celebrity chef on the list, riding on his popular travel-led TV shows Himalayas - The Offbeat Adventure and Chakh Le India. The suave chef started his career at five-star kitchens and later as the head of banquets at the Rashtrapati Bhavan and Prime Minister's Residence. Ranveer Brar is now a popular TV personality on several food shows. In October 2018, Brar premiered a show on Living Foodz (now called LF) called Station Master's Tiffin, which explored India's regional cuisine and sub-cultures along the Indian Railways routes, from the deep hinterland. Brar is among the judges on the newest season of Masterchef India, which began in December 2019. ","TV, Endorsements"
Vikas Khanna,His restaurant Junoon in New York won a Michelin star for six consecutive years,3.75,https://www.forbesindia.com/media/celeblist2019/big/097_Vikas Khanna.jpg,1,"Chef, TV personality, Entrepreneur","Star chef Vikas Khanna, best known for his Michelin-starred Manhattan restaurant Junoon, makes a list debut in the new celebrity chefs category. Born in Amritsar, Vikas Khanna's passion for cooking, inherited from his grandmother, has now placed him in New York. His restaurant Junoon in New York is one of the most sought-after spots for Indian food. The restaurant has received a Michelin star for six consecutive years. Khanna is also a popular face on cooking and food shows on television, which brings him a bunch of brand endorsements. While he didn't have a TV appearance during the considered time period, he is a judge on the now-airing season of Masterchef India, which began in December. ",Endorsements
Rohan Bopanna,Won the 2017 French Open mixed doubles with Gabriela Dabrowski,1.87,https://www.forbesindia.com/media/celeblist2019/big/098_Rohan Bopanna.jpg,2,Tennis player,"India's professional tennis player makes it to the Forbes India Celebrity 100 list once again, the fifth time in eight years. Bopanna has had an active 2018-19 playing several Grand Slam tournaments and ATP Masters Series 1000. With a string of average but consistent performances Bopanna continues to find his way into the list, with earnings also aided by endorsements from Asics for his tennis academy. ","Tennis, Endorsements"
Vicky Ratnani,Was appointed the personal chef to Nelson Mandela on his journey from Durban to Cape Town,2,https://www.forbesindia.com/media/celeblist2019/big/99_Vicky Ratnani_bg.jpg,1,"Chef, TV personality and F&B entrepreneur","With a popular web series, Vicky the Gastronaut, and as the face of food at the lavish Inox Insignia, Chef Vicky Ratnani debuts on the Forbes India Celebrity 100 list this year. The Mumbai chef has crossed seas to follow his dreams, starting his career on a series of world cruises, which exposed him to markets and cuisines across the world. His most recent show is a web series called Vicky the Gastronaut, a travel-based food show that shot its first two seasons in Peru and Australia, and will film its next in Chiang Mai in Thailand. Ratnani also has a health food start-up called Hello Green, and consults with Inox Cinemas' luxury brand, Insignia, for its elaborate menu. ",Endorsements
Saransh Goila,"Appeared as a guest judge on Masterchef Australia, the first Indian chef to do so",1.41,https://www.forbesindia.com/media/celeblist2019/big/100_Saransh Goila.jpg,1,"Chef, Entrepreneur, TV anchor","Saransh Goila won a cooking game show in 2011, and has risen in the chef ranks since. Now the founder of an eponymous quick-serve chain called Goila Butter Chicken, Goila appeared as a guest judge on Masterchef Australia, challenging contestants to recreate his signature butter chicken dish. Goila holds a record for the 'Longest road journey by a chef', travelling across India to discover regional cuisines, for 100 days. With a large social media following, Goila, who champions Indian food, has also been the face of brands such as Cinepolis, Alpenliebe and Samsung Galaxy. ","TV, Endorsements"
